Arizona Department of Corrections,,,,,,,,,,,,,,,,,,,,,,
"Admissions, Releases, Confined Population Fact Sheet FY2020",,,,,,,,,,,,,,,,,,,,,,
,,,                       Admissions                      ,,,,,,,,                        Releases                        ,,,, End of Fiscal Year Confined Population,,,,,,,
,Male,,Female,,,Total,,,Male,,Female,,,Total,,,Male,,Female,,Total,
"Admissions, Releases, Confined - History",,,,,,,,,,,,,,,,,,,,,,
FY 2009,"19,246",,"3,045",,,"22,291",,,"17,904",,"2,862",,,"20,766",,,"36,590",,"3,822",,"40,412",
FY 2010,"17,899",,"2,737",,,"20,636",,,"17,763",,"2,808",,,"20,571",,,"36,735",,"3,742",,"40,477",
FY 2011,"16,315",,"2,444",,,"18,759",,,"16,469",,"2,586",,,"19,055",,,"36,568",,"3,613",,"40,181",
FY 2012,"15,646",,"2,424",,,"18,070",,,"15,909",,"2,465",,,"18,374",,,"36,325",,"3,552",,"39,877",
FY 2013,"16,155",,"2,522",,,"18,677",,,"15,477",,"2,391",,,"17,868",,,"36,998",,"3,688",,"40,686",
FY 2014,"17,557",,"2,743",,,"20,300",,,"16,581",,"2,632",,,"19,213",,,"37,962",,"3,811",,"41,773",
FY 2015,"17,744",,"3,007",,,"20,751",,,"16,958",,"2,815",,,"19,773",,,"38,626",,"3,998",,"42,624",
FY2016,"16,681",,"2,767",,,"19,448",,,"16,446",,"2,725",,,"19,171",,,"38,644",,"4,027",,"42,671",
FY2017,"15,323",,"2,706",,,"18,029",,,"16,266",,"2,698",,,"18,964",,,"37,835",,"4,084",,"41,919",
FY2018,"15,555",,"2,754",,,"18,309",,,"15,702",,"2,750",,,"18,452",,,"37,484",,"4,082",,"41,566",
FY2019,"15,138",,"3,033",,,"18,171",,,"15,120",,"2,781",,,"17,901",,,"38,007",,"4,324",,"42,331",
FY2020,"13,136",,"2,436",,,"15,572",,,"14,938",,"2,704",,,"17,642",,,"36,145",,"4,006",,"40,151",
Average Length of Stay (Years) - History,,,,,,,,,,,,,,,,,,,,,,
FY 2009,2.4,,1.4,,,2.2,,,1.7,,1.2,,,1.6,,,7.6,,4.2,,7.3,
FY 2010,2.5,,1.6,,,2.4,,,1.7,,1.2,,,1.7,,,8.0,,4.5,,7.7,
FY 2011,2.5,,1.5,,,2.3,,,1.9,,1.3,,,1.8,,,8.2,,4.7,,7.9,
FY 2012,2.4,,1.5,,,2.3,,,2.0,,1.3,,,1.9,,,8.5,,4.9,,8.1,
FY 2013,2.3,,1.5,,,2.2,,,2.1,,1.4,,,2.0,,,8.5,,4.8,,8.2,
FY 2014,2.3,,1.5,,,2.2,,,2.0,,1.3,,,1.9,,,8.5,,4.8,,8.1,
FY 2015,2.3,,1.6,,,2.2,,,2.0,,1.3,,,1.9,,,8.6,,4.9,,8.2,
FY2016,2.4,,1.4,,,2.2,,,2.0,,1.3,,,1.9,,,8.7,,4.9,,8.4,
FY2017,2.4,,1.5,,,2.3,,,2.2,,1.4,,,2.1,,,9.0,,5.0,,8.6,
FY2018,2.4,,1.6,,,2.3,,,2.3,,1.4,,,2.1,,,9.1,,5.1,,8.7,
FY2019,2.5,,1.6,,,2.3,,,2.3,,1.4,,,2.2,,,9.1,,5.1,,8.7,
FY2020,2.6,,1.6,,,2.5,,,2.4,,1.4,,,2.2,,,9.6,,5.5,,9.2,
Median Length of Stay (Years) - History,,,,,,,,,,,,,,,,,,,,,,
FY 2009,1.0,,0.7,,,1.0,,,0.9,,0.6,,,0.8,,,4.1,,2.6,,3.9,
FY 2010,1.0,,0.7,,,1.0,,,0.9,,0.6,,,0.9,,,4.6,,2.8,,4.3,
FY 2011,1.1,,0.7,,,1.3,,,1.0,,0.7,,,1.0,,,4.8,,3.0,,4.6,
FY 2012,1.1,,0.7,,,1.0,,,1.1,,0.7,,,1.0,,,5.0,,3.2,,4.8,
FY 2013,1.2,,0.7,,,1.1,,,1.1,,0.7,,,1.0,,,5.0,,3.2,,4.8,
FY 2014,1.1,,0.6,,,1.0,,,1.0,,0.6,,,1.0,,,5.0,,3.1,,4.8,
FY 2015,1.1,,0.7,,,1.0,,,1.0,,0.6,,,0.9,,,5.0,,3.0,,5.0,
FY2016,1.2,,0.7,,,1.1,,,1.1,,0.6,,,1.0,,,5.0,,3.1,,4.8,
FY2017,1.2,,0.8,,,1.1,,,1.2,,0.7,,,1.2,,,5.2,,3.1,,4.9,
FY2018,1.3,,0.7,,,1.2,,,1.3,,0.7,,,1.2,,,5.3,,3.2,,5.0,
FY2019,1.3,,0.9,,,1.3,,,1.3,,0.7,,,1.2,,,5.3,,3.0,,5.0,
FY2020,1.4,,0.9,,,1.3,,,1.3,,0.8,,,1.2,,,5.5,,3.4,,5.2,
,              Admissions - FY 2020              ,,,,,,                Releases - FY 2020                ,,,,,,,,"Confined Population as of June 30, 2020",,,,,,,
,Male,,Female,,,Total,,,Male,,Female,,,Total,,,Male,,Female,,Total,
Gender #,"13,136",,"2,436",,,"15,572",,,"14,938",,"2,704",,,"17,642",,,"36,145",,"4,006",,"40,151",
Gender %,84.4%,,15.6%,,,100.0%,,,84.7%,,15.3%,,,100.0%,,,90.0%,,10.0%,,100.0%,
,,,,,,,,,,,,,,,,,,,,,,
Average Age,35.8,,35.4,,,35.8,,,37.4,,36.4,,,37.3,,,39.5,,37.8,,39.3,
Age Distribution #,,,,,,,,,,,,,,,,,,,,,,
< 18 Years,64,,7,,,71,,,15,,2,,,17,,,44,,4,,48,
18-24 Years,"1,756",,284,,,"2,040",,,"1,419",,234,,,"1,653",,,"2,774",,275,,"3,049",
25-39 Years,"7,158",,"1,424",,,"8,582",,,"8,018",,"1,591",,,"9,609",,,"17,585",,"2,212",,"19,797",
40-54 Years,"3,192",,599,,,"3,791",,,"4,148",,715,,,"4,863",,,"11,079",,"1,214",,"12,293",
55+ Years,966,,122,,,"1,088",,,"1,338",,162,,,"1,500",,,"4,663",,301,,"4,964",
Total,"13,136",,"2,436",,,"15,572",,,"14,938",,"2,704",,,"17,642",,,"36,145",,"4,006",,"40,151",
Age Distribution %,,,,,,,,,,,,,,,,,,,,,,
< 18 Years,0.5%,,0.3%,,,0.5%,,,0.1%,,0.1%,,,0.1%,,,0.1%,,0.1%,,0.1%,
18-24 Years,13.4%,,11.7%,,,13.1%,,,9.5%,,8.7%,,,9.4%,,,7.7%,,6.9%,,7.6%,
25-39 Years,54.5%,,58.5%,,,55.1%,,,53.7%,,58.8%,,,54.5%,,,48.7%,,55.2%,,49.3%,
40-54 Years,24.3%,,24.6%,,,24.3%,,,27.8%,,26.4%,,,27.6%,,,30.7%,,30.3%,,30.6%,
55+ Years,7.4%,,5.0%,,,7.0%,,,9.0%,,6.0%,,,8.5%,,,12.9%,,7.5%,,12.4%,
Total,100.0%,,100.0%,,,100.0%,,,100.0%,,100.0%,,,100.0%,,,100.0%,,100.0%,,100.0%,
Felony History #,,,,,,,,,,,,,,,,,,,,,,
