Median_Length_of_Stay_(Years),Admissions_Male,Admissions_Female,Admissions_Total,Releases_Male,Releases_Female,Releases_Total,End_of_Fiscal_Year_Confined_Population_Male,End_of_Fiscal_Year_Confined_Population_Female,End_of_Fiscal_Year_Confined_Population_Total
FY 2009,1,0.7,1,0.9,0.6,0.8,4.1,2.6,3.9
FY 2010,1,0.7,1,0.9,0.6,0.9,4.6,2.8,4.3
FY 2011,1.1,0.7,1.3,1,0.7,1,4.8,3,4.6
FY 2012,1.1,0.7,1,1.1,0.7,1,5,3.2,4.8
FY 2013,1.2,0.7,1.1,1.1,0.7,1,5,3.2,4.8
FY 2014,1.1,0.6,1,1,0.6,1,5,3.1,4.8
FY 2015,1.1,0.7,1,1,0.6,0.9,5,3,5
FY2016,1.2,0.7,1.1,1.1,0.6,1,5,3.1,4.8
FY2017,1.2,0.8,1.1,1.2,0.7,1.2,5.2,3.1,4.9
FY2018,1.3,0.7,1.2,1.3,0.7,1.2,5.3,3.2,5
FY2019,1.3,0.9,1.3,1.3,0.7,1.2,5.3,3,5
FY2020,1.4,0.9,1.3,1.3,0.8,1.2,5.5,3.4,5.2
