"Arizona Department of Corrections","...2","...4","...6","...7","...8","...10","...12","...14","...15","...16","...18","...20","...22"
"Admissions, Releases, Confined Population Fact Sheet FY2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"                       Admissions                      ",NA,NA,NA,NA,"                        Releases                        ",NA,NA," End of Fiscal Year Confined Population",NA,NA,NA
NA,"Male","Female",NA,"Total",NA,"Male","Female",NA,"Total",NA,"Male","Female","Total"
"Admissions, Releases, Confined - History",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY 2009","19,246","3,045",NA,"22,291",NA,"17,904","2,862",NA,"20,766",NA,"36,590","3,822","40,412"
"FY 2010","17,899","2,737",NA,"20,636",NA,"17,763","2,808",NA,"20,571",NA,"36,735","3,742","40,477"
"FY 2011","16,315","2,444",NA,"18,759",NA,"16,469","2,586",NA,"19,055",NA,"36,568","3,613","40,181"
"FY 2012","15,646","2,424",NA,"18,070",NA,"15,909","2,465",NA,"18,374",NA,"36,325","3,552","39,877"
"FY 2013","16,155","2,522",NA,"18,677",NA,"15,477","2,391",NA,"17,868",NA,"36,998","3,688","40,686"
"FY 2014","17,557","2,743",NA,"20,300",NA,"16,581","2,632",NA,"19,213",NA,"37,962","3,811","41,773"
"FY 2015","17,744","3,007",NA,"20,751",NA,"16,958","2,815",NA,"19,773",NA,"38,626","3,998","42,624"
"FY2016","16,681","2,767",NA,"19,448",NA,"16,446","2,725",NA,"19,171",NA,"38,644","4,027","42,671"
"FY2017","15,323","2,706",NA,"18,029",NA,"16,266","2,698",NA,"18,964",NA,"37,835","4,084","41,919"
"FY2018","15,555","2,754",NA,"18,309",NA,"15,702","2,750",NA,"18,452",NA,"37,484","4,082","41,566"
"FY2019","15,138","3,033",NA,"18,171",NA,"15,120","2,781",NA,"17,901",NA,"38,007","4,324","42,331"
"FY2020","13,136","2,436",NA,"15,572",NA,"14,938","2,704",NA,"17,642",NA,"36,145","4,006","40,151"
"Average Length of Stay (Years) - History",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY 2009","2.4","1.4",NA,"2.2",NA,"1.7","1.2",NA,"1.6",NA,"7.6","4.2","7.3"
"FY 2010","2.5","1.6",NA,"2.4",NA,"1.7","1.2",NA,"1.7",NA,"8.0","4.5","7.7"
"FY 2011","2.5","1.5",NA,"2.3",NA,"1.9","1.3",NA,"1.8",NA,"8.2","4.7","7.9"
"FY 2012","2.4","1.5",NA,"2.3",NA,"2.0","1.3",NA,"1.9",NA,"8.5","4.9","8.1"
"FY 2013","2.3","1.5",NA,"2.2",NA,"2.1","1.4",NA,"2.0",NA,"8.5","4.8","8.2"
"FY 2014","2.3","1.5",NA,"2.2",NA,"2.0","1.3",NA,"1.9",NA,"8.5","4.8","8.1"
"FY 2015","2.3","1.6",NA,"2.2",NA,"2.0","1.3",NA,"1.9",NA,"8.6","4.9","8.2"
"FY2016","2.4","1.4",NA,"2.2",NA,"2.0","1.3",NA,"1.9",NA,"8.7","4.9","8.4"
"FY2017","2.4","1.5",NA,"2.3",NA,"2.2","1.4",NA,"2.1",NA,"9.0","5.0","8.6"
"FY2018","2.4","1.6",NA,"2.3",NA,"2.3","1.4",NA,"2.1",NA,"9.1","5.1","8.7"
"FY2019","2.5","1.6",NA,"2.3",NA,"2.3","1.4",NA,"2.2",NA,"9.1","5.1","8.7"
"FY2020","2.6","1.6",NA,"2.5",NA,"2.4","1.4",NA,"2.2",NA,"9.6","5.5","9.2"
"Median Length of Stay (Years) - History",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY 2009","1.0","0.7",NA,"1.0",NA,"0.9","0.6",NA,"0.8",NA,"4.1","2.6","3.9"
"FY 2010","1.0","0.7",NA,"1.0",NA,"0.9","0.6",NA,"0.9",NA,"4.6","2.8","4.3"
"FY 2011","1.1","0.7",NA,"1.3",NA,"1.0","0.7",NA,"1.0",NA,"4.8","3.0","4.6"
"FY 2012","1.1","0.7",NA,"1.0",NA,"1.1","0.7",NA,"1.0",NA,"5.0","3.2","4.8"
"FY 2013","1.2","0.7",NA,"1.1",NA,"1.1","0.7",NA,"1.0",NA,"5.0","3.2","4.8"
"FY 2014","1.1","0.6",NA,"1.0",NA,"1.0","0.6",NA,"1.0",NA,"5.0","3.1","4.8"
