Total_Population,Admissions_Male,Admissions_Female,Admissions_Total,Releases_Male,Releases_Female,Releases_Total,End_of_Fiscal_Year_Confined_Population_Male,End_of_Fiscal_Year_Confined_Population_Female,End_of_Fiscal_Year_Confined_Population_Total
"FY 2009","19,246","3,045",NA,"22,291",NA,"17,904","2,862",NA,"20,766",NA,"36,590","3,822","40,412"
"FY 2010","17,899","2,737",NA,"20,636",NA,"17,763","2,808",NA,"20,571",NA,"36,735","3,742","40,477"
"FY 2011","16,315","2,444",NA,"18,759",NA,"16,469","2,586",NA,"19,055",NA,"36,568","3,613","40,181"
"FY 2012","15,646","2,424",NA,"18,070",NA,"15,909","2,465",NA,"18,374",NA,"36,325","3,552","39,877"
"FY 2013","16,155","2,522",NA,"18,677",NA,"15,477","2,391",NA,"17,868",NA,"36,998","3,688","40,686"
"FY 2014","17,557","2,743",NA,"20,300",NA,"16,581","2,632",NA,"19,213",NA,"37,962","3,811","41,773"
"FY 2015","17,744","3,007",NA,"20,751",NA,"16,958","2,815",NA,"19,773",NA,"38,626","3,998","42,624"
"FY2016","16,681","2,767",NA,"19,448",NA,"16,446","2,725",NA,"19,171",NA,"38,644","4,027","42,671"
"FY2017","15,323","2,706",NA,"18,029",NA,"16,266","2,698",NA,"18,964",NA,"37,835","4,084","41,919"
"FY2018","15,555","2,754",NA,"18,309",NA,"15,702","2,750",NA,"18,452",NA,"37,484","4,082","41,566"
"FY2019","15,138","3,033",NA,"18,171",NA,"15,120","2,781",NA,"17,901",NA,"38,007","4,324","42,331"
"FY2020","13,136","2,436",NA,"15,572",NA,"14,938","2,704",NA,"17,642",NA,"36,145","4,006","40,151"
